n = 1015 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2716802 | dataRider[i].timeRAC = 2717309
n = 1020 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2716804 | dataRider[i].timeRAC = 2717314
n = 1025 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2716807 | dataRider[i].timeRAC = 2717319
n = 1030 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2716809 | dataRider[i].timeRAC = 2717324
n = 1035 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2716812 | dataRider[i].timeRAC = 2717329
n = 1040 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2716814 | dataRider[i].timeRAC = 2717334
n = 1045 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2716817 | dataRider[i].timeRAC = 2717339
n = 1050 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2716819 | dataRider[i].timeRAC = 2717344
n = 1055 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2716822 | dataRider[i].timeRAC = 2717349
n = 1060 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2716824 | dataRider[i].timeRAC = 2717354
n = 1065 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2716827 | dataRider[i].timeRAC = 2717359
n = 1070 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2716829 | dataRider[i].timeRAC = 2717364
n = 1075 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2716832 | dataRider[i].timeRAC = 2717369
n = 1080 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2716834 | dataRider[i].timeRAC = 2717374
n = 1085 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2716837 | dataRider[i].timeRAC = 2717379
n = 1090 | dataRider[0].timeRAC = 1446314 | dataRider[i/2].timeRAC = 2716839 | dataRider[i].timeRAC = 2717384
